"","MAL13P1.124","MAL13P1.201","MAL13P1.294","MAL13P1.332","MAL13P1.337","MAL8P1.152","MAL8P1.35","MAL8P1.55","PF10_0159","PF10_0195","PF10_0257","PF10_0286","PF10_0348","PF11_0096","PF11_0141","PF11_0146","PF11_0212","PF11_0276","PF11_0404","PF11_0414","PF11_0471","PF13_0013","PF13_0031","PF13_0036","PF13_0095","PF14_0121","PF14_0133","PF14_0178","PF14_0185","PF14_0214","PF14_0261","PF14_0314","PF14_0346","PF14_0415","PF14_0545","PFA0300c","PFC0610c","PFD0180c","PFD0295c","PFE1430c","PFE1550w","PFF0610c","PFF0625w","PFI1510w","PFI1545c","PFI1655c","PFL0420w","PFL1335w","PFL1400c","PFL1815c","D_class","Class","Compound"
"HDATP1"," 0.433662985"," 0.3488807114","-0.790844282"," 1.718627096","-0.15834995"," 0.8015780917"," 0.623399883","-0.507939951"," 0.38075516","-0.418851059"," 0.429820107","-0.541688355","-1.3269252749"," 0.273273978","-0.9628359906","-0.422086428","-0.3983483926"," 0.1538408047"," 1.1169987592"," 0.719715931"," 2.865062e-01","-0.539026698"," 1.210735953"," 0.064544012","-0.80491905"," 0.9807877480"," 0.158688950","-1.399697051"," 0.526905790"," 0.5774690671","-0.145376339","-1.009464042","-0.4850207992","-0.547248106","-1.2175589521","-0.718537257"," 2.201144844","-0.6285089222","-0.16604936","-0.978750123"," 1.067880392"," 0.330104665","-0.307949883"," 1.159465049","-0.62450539"," 0.70900525","-1.0244501027"," 0.241152624","-0.225023188"," 0.539638795",1,1,"HDA"
"HDATP1.1"," 0.280499154"," 0.4090742256","-0.815856326"," 0.935918918","-0.32932936"," 0.1210241534"," 0.017945974"," 0.022605349"," 0.18827099"," 0.022789596","-0.770610893"," 0.059730698","-0.2468656421","-0.060803761","-0.7298508519","-0.122540038","-0.2975239953","-0.2139358620"," 0.0868452903"," 0.528666199","-1.808552e-01","-0.130742246"," 0.538237896","-0.364219103","-0.10213417"," 0.3202264914","-0.137719569","-0.602875542"," 0.187788678","-0.4240726251"," 0.255663734","-0.735702995","-0.7338668720"," 0.418906072","-0.5049293041"," 0.015464641"," 0.625513573"," 0.0895316116","-0.25305126","-0.432274549"," 0.371907090"," 0.001531456","-0.035269730"," 0.281141147"," 0.22805547"," 0.21986977","-0.2583948061"," 0.003348436","-0.164389321"," 0.190073438",1,1,"HDA"
"HDATP2"," 0.048089475"," 0.3565912739","-1.219750052"," 2.141281099","-0.48525073"," 0.3904131952"," 0.669886035","-0.269610247","-0.17330418","-0.799986266"," 0.101495309","-0.766844974","-1.1083098577","-0.127357517","-0.6911761995","-0.029493396","-0.3890496403"," 0.0356745885"," 0.7937472342"," 0.782826090"," 2.567236e-01","-0.440431424"," 1.314565260"," 0.063271279","-0.08537403"," 0.8284510501","-0.304585734","-1.646661652"," 0.135690031"," 0.6843744292"," 0.186544465","-1.148351491","-0.4491593897"," 0.004374309"," 0.0213851102","-0.004840038"," 2.329332163","-0.8572403851","-0.24177432","-0.887294110"," 1.610587135","-0.027247997","-0.455748822"," 0.980051256","-0.68324969"," 0.86845460","-1.2526603125"," 0.069447984","-0.328616976"," 0.119704714",1,1,"HDA"
"HDATP2.2"," 0.140786520"," 0.0661039966","-0.386898626"," 0.409021370","-0.13685794"," 0.0458924118"," 0.179609576"," 0.092344466"," 0.61527112"," 0.612561227","-0.372508871"," 0.340848823","-0.1670318245"," 0.100072420","-0.5911227177","-0.358242623","-0.3409946139"," 0.1485152109","-0.0240445803"," 0.083879480","-2.441114e-01","-0.034876403"," 0.136285116","-0.486650090"," 0.01037766"," 0.2548954738","-0.218746331","-0.251464201"," 0.008764768","-0.7347742183","-0.209012047","-0.476709373","-0.3924828938"," 0.009751450","-0.8157296305","-0.517242515"," 0.368181964"," 0.0949071897","-0.15851021","-0.314229051","-0.121870896"," 0.088294448"," 0.145198178"," 0.087651359"," 0.22928594","-0.02335419","-0.1833118205","-0.135841851","-0.116022712"," 0.362446880",1,1,"HDA"
"HDATP3"," 0.138395010","-0.0671853727","-0.580372452"," 0.848159880"," 0.13443833"," 0.1217695911"," 0.338126659"," 0.011999543"," 0.12562379"," 0.726411962","-0.139173848","-0.213382311"," 0.3317489780"," 0.112873083","-0.2265491503"," 0.013961180"," 0.0383991628"," 0.0423042876","-0.0146226823","-0.061315606"," 5.854469e-02"," 0.351709613"," 0.419184241","-0.109171885"," 0.39657541"," 0.2230350693","-0.310068282","-0.507161734"," 0.297678728","-0.0729155267","-0.273018637","-0.395140442"," 0.0864513226","-0.158279601","-0.7507641049","-0.209786145"," 0.069738772","-0.1931155042"," 0.62530425","-0.328286785"," 0.493674377","-0.147470106","-0.323430013","-0.180383271"," 0.32368521"," 0.33982119","-0.0608604208","-0.070503358","-0.404097024"," 0.513769332",1,1,"HDA"
"HDATP3.3","-0.054201196"," 0.1294091112","-0.735140062"," 0.472855502"," 0.12761413"," 0.2073677749","-0.119810742"," 0.075286479"," 0.41250151"," 0.287490097","-0.162750842"," 0.088968195","-0.3070908697"," 0.442767557","-0.4441794463","-0.164897282","-0.0135178369","-0.0787969064","-0.0883809050"," 0.339716691","-2.633426e-02"," 0.104365619"," 0.454808725","-0.328912527"," 0.05478049"," 0.0215894524","-0.291774854","-0.510505040"," 0.075106165","-0.0970430449"," 0.235053654","-0.736260646","-0.2721755325","-0.022116986","-0.3452539794","-0.249155471"," 0.112420626","-0.1537838643","-0.19850019","-0.079159750","-0.033594829","-0.072106864","-0.039551453"," 0.141811800"," 0.13321318"," 0.31654255","-0.0790647421"," 0.044976474","-0.244824665"," 0.231472004",1,1,"HDA"
"ACTTP1"," 0.202264094","-0.7099078795"," 0.141642628","-0.466147827"," 0.10907376","-0.0544539277"," 0.586934832"," 0.090494364"," 0.36016415","-0.154257281","-0.039564168","-0.087230802","-0.2081828050"," 0.727885634","-0.3922772003","-0.910055648"," 0.0199651504","-0.2667900881"," 0.2113066637","-0.124141712","-6.456441e-02"," 0.010451388","-0.163339067","-0.169511868"," 0.24425936","-0.0403349584","-0.112394787","-0.156843561","-0.173267232"," 0.0157864428"," 0.083821434"," 0.498939632"," 0.1889175542","-0.576040370","-0.4495598968","-0.677708329","-0.349673356","-0.0506879120"," 0.07428828","-0.294534449","-0.632024009"," 0.371603352","-0.092415086"," 0.013738286"," 0.37543671"," 0.26426550","-0.0041316499"," 0.602575191"," 0.007885597"," 0.461946325",2,2,"ACTd"
"ACTTP2","-0.516225196","-0.1854794858","-0.550277612"," 0.175278156"," 0.20753825"," 0.6853067299"," 0.579011135","-0.162662785","-0.89960126"," 0.421155908","-0.151477911"," 0.089338093","-0.1640218718"," 0.587505883","-0.4810942075","-0.648694966"," 0.0337899577"," 0.1899025226"," 0.2838746875"," 0.084502714"," 2.301977e-01","-0.011099007"," 0.267855394","-0.163553759","-0.10529164"," 0.0981560432","-0.119101436"," 0.359575539"," 0.141919772","-0.5948214967","-0.452724944"," 0.476425421"," 0.0351015128","-0.165376224","-0.7837252274","-0.875567998"," 0.389031880"," 0.0247490187","-0.15235876"," 0.287129277","-0.061763291","-0.462228489","-0.554896659"," 0.412727110","-0.61167966"," 0.31628864","-0.0847595591"," 0.232389894"," 0.006046883","-0.077739651",2,2,"ACTd"
"ACTTP3","-0.427260943"," 0.3763040546","-0.377034031","-0.520500803","-0.70672566"," 0.4164014069"," 0.588724150","-0.481124063"," 0.11175960","-0.013682061"," 0.406791679","-0.174812928","-0.4892364302"," 0.441060698","-1.7392558353","-0.541133627","-0.1889128543","-0.0250411652"," 0.2254049002"," 0.200094252"," 5.073681e-01","-0.225243636"," 0.183546617"," 0.137945272"," 0.08971356","-0.1962913879"," 0.027794428","-0.231744773"," 0.205829381"," 0.0261267177","-0.381319059","-0.059317957","-0.3728793939","-0.632450175","-1.9745556839","-0.476866021"," 0.887297311"," 0.2778071237"," 0.38042834","-0.733986812","-0.155076931","-0.045344622"," 0.102811874"," 0.649375655","-0.49044196","-0.67222451","-0.3789037965"," 0.133131972"," 0.134806960"," 0.440850715",2,2,"ACTd"
"ACTTP4"," 0.061328012"," 0.1033760008","-0.206514574","-0.239238477","-0.37270189"," 0.9557923422"," 0.427305191","-0.317715455"," 0.58013421"," 0.418043234"," 0.570326384","-0.494562040"," 0.2192756281"," 0.178792155","-0.6718269329","-0.925953181","-0.5232945404","-0.3483381201"," 0.5533655986","-0.534412950"," 6.916912e-01","-0.341691248"," 0.053190071","-0.605724151","-0.11671821"," 0.0004860545"," 0.679850440","-0.337279390"," 0.351575202","-0.1100961750","-0.298160655"," 0.409544551","-0.3540231363","-1.367706516","-1.0616614725","-0.557723862"," 1.670884612"," 0.5493611198","-1.38743237","-0.685603844","-0.033444250","-0.403076390"," 0.945221954"," 0.471242733"," 0.37318883","-0.69267866","-0.4955380093","-0.254663445"," 0.162380639"," 0.791864713",2,2,"ACTd"
"ACTTP5","-0.027316587","-0.0936304870","-0.317929620","-1.409529866","-0.16880466","-0.0057193704"," 0.554863360","-0.011312878"," 0.18501017"," 0.057937622"," 0.565447173","-0.224991686","-0.4562266611"," 0.528655435","-0.9237608154","-0.671894055"," 0.0105357212","-0.7782028541"," 0.7729628859","-0.048357755"," 5.615012e-01","-0.815913127"," 0.299433493","-1.029740272","-0.11218169","-0.0417509302"," 1.028191243","-0.709366644"," 0.477140803"," 0.0335295053","-0.714160008","-0.270584926","-0.3553862434","-0.640496223","-0.6593563881","-0.371308284"," 0.353327399"," 0.4717104494","-1.03293639","-0.322127913","-0.005621477","-0.829897719"," 0.898132236","-0.460907137","-0.66790838","-0.25038507","-0.3637580999","-0.696001813","-0.185420219"," 0.909883624",2,2,"ACTd"
"ML_7_H1"," 0.409124218","-0.3167030512"," 0.513991915","-0.953564092"," 0.75490475","-1.3226295981","-0.026172370","-0.336581438"," 0.25500777"," 0.585741508","-1.813979516","-0.787394582","-0.1193076228"," 0.296642873","-0.9382690483"," 0.270254580"," 0.0332689268","-0.1227028164","-0.2638845542","-0.615591432"," 3.459243e-01","-0.937209927","-1.053489311","-0.992848455"," 0.32858807"," 0.1841677722"," 0.813156841"," 0.323936253","-0.593389970"," 0.0855371954","-0.823799671"," 0.634259098"," 0.2511695632"," 0.574225256"," 1.0557048627","-0.341961991"," 0.473741104","-0.4970459268","-0.63560691"," 0.334671683"," 0.474642858","-0.248523913","-0.065304884","-1.348837550"," 0.79105792","-0.58676088","-0.3883894995"," 0.740424906","-0.995944892"," 0.595257992",3,3,"ML_7"
"ML_7_H2"," 0.289426667","-0.5064395267","-0.064562120","-0.909776202"," 0.74070339","-1.5281474028","-0.275671012","-0.365226849"," 0.12048429"," 0.295509330","-1.728766395","-0.709837187"," 0.0943829560"," 0.457000786","-0.9262443955"," 0.167909003"," 0.0116509990","-0.4376626580","-0.1211427542","-0.243022140","-3.154707e-02","-1.075607719","-0.961341516","-1.096755901"," 0.23222129","-0.2089781980"," 0.913554411"," 0.486151208","-0.507298765"," 0.2908911867","-0.515892462"," 0.731813944"," 0.3815005324"," 0.936421378"," 0.6695845439","-0.485038584"," 0.263084482","-0.5357833991","-0.69493262"," 0.263959626"," 0.409893146"," 0.266298721","-0.130924842","-1.045234719"," 0.95276502","-0.38194932","-0.4102901397"," 0.596413866","-0.731857002"," 0.678687157",3,3,"ML_7"
"ML_7_H4"," 0.318901060","-0.2935406197"," 0.485047366","-0.647614245"," 0.41349969","-1.6344795593"," 0.006534212","-0.516200372"," 0.24864519"," 0.360005931","-1.851550160","-0.605629899"," 0.1226306193"," 0.430759041","-1.1217800594"," 0.150716975","-0.0923416325","-0.5766437492","-0.3304078935","-0.166701860","-1.374783e-01","-1.173747651","-0.700946634","-0.613923365"," 0.26670151","-0.0947211129"," 0.667542698"," 0.587806827","-0.349076390"," 0.0521221074","-0.816001760"," 0.456906019"," 0.2553774090"," 0.433462219"," 0.7318429673","-0.374074138"," 0.169983249","-0.4907650372","-0.55938873"," 0.069114146"," 0.204806262","-0.031772346","-0.251557150","-1.049855279"," 0.73674766","-0.45603936","-0.5108500361"," 0.399126320","-0.757315577"," 0.345192300",3,3,"ML_7"
"ML_7_H6"," 0.286227967","-0.5334490672"," 0.599830995","-0.638717034"," 0.59844204","-1.6841287939","-0.299420677","-0.729202968"," 0.30007145"," 0.351586065","-1.429566626","-0.849593023"," 0.4920297386"," 0.476460910","-1.2118616722"," 0.213334085","-0.2913579321","-1.2319502419","-0.0890809044","-0.179756974","-3.297777e-02","-1.104179774","-1.780721087","-0.662110246"," 0.42339367","-0.9120711478"," 0.294952150"," 1.075057247","-1.426038367"," 0.1558895707","-0.096880073"," 0.340231988"," 0.6128009606"," 0.647804488"," 1.4390270843"," 0.109929426"," 0.313713822"," 0.0080644553"," 0.06201763"," 0.595203000"," 0.239421834"," 0.085031323","-0.094577145","-0.945085210"," 0.53617549","-0.34811201","-0.7000481875"," 0.393942292","-0.560459585"," 0.403963885",3,3,"ML_7"
"ML_7_H8"," 0.622939985","-0.7761910691"," 0.278020633","-0.698638364"," 0.71735306","-1.6739837456"," 0.161754016","-0.489777382"," 0.07747437"," 0.516518281","-2.057057335","-1.088417116","-0.3467733354"," 0.372129484","-1.2785020724"," 0.075356895"," 0.4050944869","-0.3665274361","-0.3079553491"," 0.392249562"," 3.988935e-01","-1.274126014","-0.900873357","-1.042301966"," 0.45864650"," 0.0035467493"," 0.753614767","-0.120163169","-0.443032411"," 0.2909759682","-0.590397471"," 0.380705041"," 0.0913585335"," 0.958671934"," 0.6287356431","-0.410006109"," 0.317539676","-1.0862770270","-1.05908369"," 0.088538954"," 0.288705686"," 0.178879275"," 0.061788839","-1.431511633"," 1.06552364","-0.17060861","-0.4493682027"," 0.582481744","-1.340229878"," 0.275634124",3,3,"ML_7"
"ML_7_H10"," 0.031672403"," 0.1724441142"," 0.524149613"," 0.139039447"," 0.08123839","-0.2747661171"," 0.086076006","-0.033275404","-0.30242917","-0.175881966","-1.054402680"," 0.183289684","-0.1957586508"," 0.174593065","-0.3247481731","-0.003535110","-0.2374962483"," 0.1843105404","-0.2063724754","-0.337114917"," 4.539324e-01","-0.388755047"," 0.157783973","-0.276358637"," 0.37150330"," 0.2760991668"," 0.185330504"," 0.500826981","-0.274954461","-0.5484978908","-0.548587735"," 0.145643374"," 0.5511083398"," 0.151650875"," 0.2175497138","-0.009101820","-0.478288216","-0.4683064524","-0.10527476"," 0.733700962"," 0.136375274","-0.348379772","-0.222652729","-0.978989767"," 0.77627082","-0.92994468","-0.1344287938"," 0.156777254"," 0.141801370","-0.128382346",3,3,"ML_7"
"ML_7_H12","-0.028342590"," 0.2591594301"," 0.628812140","-0.050343382"," 0.22960901","-0.3414145025"," 0.448609755"," 0.535274022"," 0.35387250","-0.384393744","-0.156674206"," 0.755070629","-0.4631786043"," 0.066215694"," 0.0822666350"," 0.061291746","-0.5427259642"," 0.0746798670","-0.1908030118","-0.476772136","-6.821059e-01","-1.011323619","-0.027133642","-0.397939154"," 0.45639820"," 0.1772353603"," 0.442428423"," 0.640940266","-0.047732224","-0.6807252428","-0.199413729"," 0.080958335","-0.1249478058"," 0.004536496"," 0.1958248820","-0.356291871","-0.751825418"," 0.1286513001","-0.52076610"," 0.631431704","-0.317279252","-0.604580846","-0.081559305","-0.897047192"," 0.40671557","-1.17170855"," 0.0947055727"," 0.146444016"," 0.660400461","-0.284297859",3,3,"ML_7"
"W7_H1","-0.140843916"," 0.2964183554"," 0.272460873"," 0.132075541"," 0.64868785","-0.7087479143","-0.016755884","-0.749701102","-0.36332656"," 0.807761029","-0.992117345","-0.388437860"," 0.2209538514","-0.204202152","-0.7063288271"," 0.211715495","-0.1878993118","-0.0111713572","-0.5751424838","-0.331481922"," 3.147473e-01","-1.084926195","-0.661416105","-0.559934288"," 0.07777226"," 0.2080354840"," 0.652005618"," 0.947096710","-0.624292593","-0.1930346813","-0.455464166"," 0.409749011"," 0.5493379421","-0.028751898"," 0.5977828532","-0.264769471"," 0.274411544","-0.0885692099","-0.11248898"," 0.263039443","-0.242613613","-0.242860869","-0.193584620","-1.010132184"," 0.84735436","-0.69771142","-0.3804300616","-0.026694162","-0.396161857","-0.013618220",4,3,"W_7"
"W7_H2","-0.069354853"," 0.1315569817","-0.063880937"," 0.100645107"," 0.47303657","-0.8263906304","-0.355793551","-0.138785902","-0.25669122"," 0.256503499","-1.219707354","-0.059029904"," 0.4037940954","-0.026893470","-0.5211361717"," 0.497376450","-0.2868656224","-0.0763029164","-0.5646793548","-0.111614497"," 1.513914e-02","-1.070485528","-0.696427515","-0.410918391"," 0.29534199","-0.3603994182"," 0.632197550"," 1.079974168","-0.483412147","-0.2324482837","-0.297243333"," 0.411743303"," 1.0097230531"," 0.169751743"," 0.7961877091","-0.287633960","-0.201652923"," 0.1173286889","-0.41885394","-0.003490041","-0.042795804"," 0.295927212","-0.529184271","-0.838623173"," 0.42858028","-0.89394718","-0.3289698029","-0.190968262","-0.042118303"," 0.110691176",4,3,"W_7"
"W7_H4"," 0.626128179","-0.5301919864"," 0.479973843","-0.827424277"," 0.72701400","-1.8415822673"," 0.078215689","-0.422667401"," 0.67421543"," 0.326231424","-2.557633335","-0.909241311"," 0.1180212071"," 0.446639788","-1.3262569643","-0.139772362"," 0.1996572785","-0.7047274232","-0.1875389401","-0.209821231","-3.486949e-02","-1.289474034","-0.825638591","-0.688931445"," 0.52413452","-0.0773691250"," 0.822352413"," 0.204252372","-0.318247152"," 0.1801916414","-0.978015436"," 0.725228886"," 0.5643269363"," 0.793013841"," 0.6779130452","-0.569963765"," 0.642748211","-0.6755314091","-0.79052836"," 0.062570053"," 0.512793187"," 0.443752539","-0.113859657","-1.371233538"," 0.96309417","-0.12237707","-0.7069197878"," 0.922609517","-0.920328955"," 0.589193468",4,3,"W_7"
"W7_H6"," 0.406088887","-0.5655213104"," 0.322538690","-0.622469848"," 0.59745034","-1.6787659244","-0.283969906","-0.521748111"," 0.44149104"," 0.472812262","-1.732553420","-1.024433514"," 0.5892853692"," 0.205988914","-1.4657383038"," 0.090522308","-0.2529914663","-1.4226675514","-0.2261876907","-0.207870305","-5.198079e-01","-1.209280060","-2.108064156","-0.643134224"," 0.67892845","-0.8124989447"," 0.310508981"," 0.740510288","-1.420170210"," 0.0922061480","-0.369494918"," 0.458367309"," 0.6575204601"," 1.060072979"," 1.7022727975"," 0.041807617"," 0.122907834"," 0.0565270102"," 0.12855886"," 0.659162297"," 0.534262035"," 0.163079020","-0.305649258","-1.164227264"," 0.48336205","-0.22126854","-0.6371069229"," 0.580306506","-0.530853247"," 0.440030900",4,3,"W_7"
"W7_H8"," 0.768881766","-1.0872093948"," 0.242181622","-0.910103579"," 1.12154468","-2.1123493899","-0.719367555","-0.388008021"," 0.20965201"," 0.633376864","-3.010829969","-1.249750534","-0.4553976866"," 0.531206095","-1.5345447947","-0.025123138"," 0.5826660532","-0.4993376766","-0.3350437023"," 0.418365933"," 2.274607e-01","-1.629351888","-1.108833766","-1.501180843"," 0.86882560","-1.8008612578"," 0.953324714","-0.152888506","-0.662789770"," 0.5270243118","-0.839032992"," 0.880784501"," 0.2874571578"," 1.327040358"," 0.5741783726","-0.490777384"," 0.740389086","-1.3666899364","-1.44779011"," 0.318950832"," 0.580771571"," 0.625665817","-0.005818437","-2.112790288"," 1.12999241"," 0.09655994","-0.7142192747"," 0.829921713","-1.944049501"," 0.723506696",4,3,"W_7"
"W7_H10"," 0.068050143","-0.4410317806","-0.112861769","-0.113962592"," 0.49996302","-1.3672070540","-0.846453976","-0.285231417","-0.92640371"," 0.904210481","-1.204519441","-0.635693132"," 0.3735194171","-0.048329084","-0.5890586683"," 0.499731717","-0.3240695042"," 0.4483310878","-0.5471917195"," 0.022490021","-4.457661e-02","-1.385528507","-0.545300784","-0.076693838"," 0.04001783","-0.0123011441"," 0.778340086"," 0.963432393","-0.867320443","-0.0670369766","-0.758312202"," 0.157850864"," 0.0848106271"," 0.192286431"," 0.9717597821","-0.201731715"," 0.384337823","-0.6330351423","-0.39354280"," 0.119960821"," 0.162796588"," 0.158426497","-0.734499234","-0.836460628"," 0.52145716","-0.42728361","-0.2200553247"," 0.265802965","-0.466580896","-0.021833149",4,3,"W_7"
"W7_H12"," 0.226112742","-0.5951786416","-0.071537753","-0.898749935"," 0.74102345","-1.5115216986","-0.695335199"," 0.169987295"," 0.10595219"," 0.588768153","-1.633642099","-0.643197495","-0.1969178362"," 0.175310341","-1.1523774347"," 0.141057394"," 0.1163394581"," 0.0334854346","-0.3049590921","-0.216009245","-6.710196e-01","-1.700571000","-0.721128189","-0.923298718"," 0.02111293","-0.9968422728"," 0.735567779"," 0.194597275","-0.366114874"," 0.1875950237","-1.045039696"," 0.472878211","-0.0769763415"," 0.724360730"," 1.0957797978","-0.513692312"," 0.513981240","-0.5904247478","-1.04301844"," 0.106876320"," 0.389164722"," 0.697377664","-0.321006764","-1.248357728"," 0.64853386","-0.26595595","-0.2191566149"," 0.647052316","-0.733298440"," 0.430642021",4,3,"W_7"
