"","MAL13P1.301","MAL7P1.137","MAL7P1.18","MAL8P1.55","PF07_0049","PF10_0142","PF10_0215","PF10_0321","PF10_0374","PF11_0276","PF11_0354","PF11_0396","PF11_0471","PF11_0527","PF13_0081","PF13_0107","PF14_0062","PF14_0139","PF14_0238","PF14_0507","PF14_0512","PF14_0598","PF14_0642","PF14_0736","PFB0161c","PFB0530c","PFB0655c","PFB0745w","PFC0090w","PFC0885c","PFC0960c","PFD0625c","PFE0830c","PFE1320w","PFF0200c","PFF0610c","PFF0875w","PFF0940c","PFF1150w","PFF1315w","PFF1580c","PFI1020c","PFI1580c","PFI1770w","PFL0175c","PFL0585w","PFL1125w","PFL1240c","PFL1815c","PFL2235w","D_class","Class","Compound"
"HDATP1","-1.139620579"," 1.29754783"," 1.187050882","-0.507939951","-0.174824374","-0.278303885","-0.6812559840","-0.390101180"," 0.360651106"," 0.1538408047"," 1.682240e-01"," 1.045323687"," 2.865062e-01"," 0.79786161"," 0.044784972","-0.484307000","-0.84546545"," 0.8583952953"," 0.139804803","-0.9892701879"," 0.743544561"," 0.122721030","-1.038829259","-0.68234056"," 0.19559782","-0.160819862","-0.150006979","-0.614965888"," 0.746242952"," 0.915885348"," 0.0001286056"," 0.216384086","-0.269300522"," 0.325559059"," 0.39835576"," 0.330104665"," 0.3563599044","-0.802065346"," 0.421092401"," 0.426199970","-1.5726271488","-0.371870152"," 0.424406958","-1.399255866","-0.8728944983","-0.327746989"," 0.2215403578"," 0.957239806"," 0.539638795"," 0.4089081835",1,1,"HDA"
"HDATP1.1"," 0.295019713"," 0.19726455","-0.058054760"," 0.022605349","-0.765414947","-0.139930990","-0.1436921784"," 0.396992774","-0.192086718","-0.2139358620"," 1.204764e-01"," 0.236921855","-1.808552e-01"," 0.48435463","-0.068459571"," 0.263303291","-0.35516935"," 0.3722527518","-0.683072225"," 0.0918822852"," 0.204523015"," 0.394976646","-0.634430446","-0.78987942"," 0.13447649","-0.132207904"," 0.095652221"," 0.864540125"," 0.451847455","-0.210865612"," 0.0406545662","-0.527005780"," 0.209325329","-0.407432451","-0.05209524"," 0.001531456"," 0.4983639547","-0.339852665","-0.415638803"," 0.162643446","-0.3891369340","-0.279231749"," 0.124426896"," 0.822825317","-0.0994131748"," 0.239231113"," 0.1219869692"," 0.506278783"," 0.190073438","-0.0726791136",1,1,"HDA"
"HDATP2","-0.767490616"," 0.69273347"," 0.657141006","-0.269610247","-0.029958806","-0.178627302","-0.2330630401","-0.248007055"," 0.336350326"," 0.0356745885","-2.709832e-01"," 0.414070273"," 2.567236e-01"," 1.04950887","-0.796323986","-0.915594601","-0.50620868"," 0.6717640838","-0.286464150","-0.0452778323"," 1.007961234"," 0.608045003","-1.006491060","-0.86917547"," 0.39041528"," 0.105145659","-0.103291767","-0.252390372"," 0.321200863"," 0.353734514"," 0.0786063724","-0.171523750","-0.633127478"," 0.074610064"," 0.34289732","-0.027247997"," 0.3361640448","-0.412311696"," 0.100165532"," 0.488620319","-1.7140985879","-0.133228269"," 0.158916084","-0.815826435","-0.1320605797"," 0.090292887"," 0.2121158559"," 1.022780082"," 0.119704714"," 0.1267542425",1,1,"HDA"
"HDATP2.2"," 0.266236270"," 0.05674341","-0.261872206"," 0.092344466","-0.424767033","-0.023856034","-0.3486290673"," 0.064008282","-0.583802270"," 0.1485152109"," 1.876857e-01"," 0.417745916","-2.441114e-01"," 0.22345964"," 0.024319296"," 0.649806378"," 0.45165328"," 0.0923838327","-0.360382903","-0.0716882242"," 0.008465229"," 0.327162120","-0.288439576","-0.19473846","-0.17600151","-0.174602788","-0.012928384"," 0.487065086"," 0.295832531"," 0.065117021"," 0.1220187232","-0.458924923"," 0.163879485","-0.275722144","-0.03864190"," 0.088294448"," 0.3986275880","-0.322931787","-0.308264460"," 0.128456618","-0.5341031380","-0.340756348"," 0.458474418"," 0.704604255"," 0.0009130111","-0.064657138","-0.0775694509"," 0.144393534"," 0.362446880","-0.2606444551",1,1,"HDA"
"HDATP3","-0.073853254"," 0.32358145","-0.166752192"," 0.011999543"," 0.174885890"," 0.045738043","-0.1421995787","-0.180040072"," 0.299636637"," 0.0423042876"," 1.625406e-01"," 0.053970745"," 5.854469e-02"," 0.57564540"," 0.224319098"," 0.395607195","-0.14073363"," 0.3629786839","-0.217022395","-0.2326854304"," 0.052506073"," 0.223343629","-0.295197936","-0.22167348","-0.07919616","-0.157254289","-0.502590085"," 0.041741340"," 0.404895309"," 0.407237323","-0.1442935090","-0.266143226","-0.271607077"," 0.171522379","-0.42379332","-0.147470106"," 0.3114165011"," 0.155024473","-0.167358371"," 0.062136844","-0.3785843486","-0.292890226"," 0.088732827"," 0.697154160","-0.7006300639"," 0.412760235"," 0.1407920300","-0.034307608"," 0.513769332","-0.3260964084",1,1,"HDA"
"HDATP3.3"," 0.256021011"," 0.19817313","-0.585080019"," 0.075286479","-0.275179453"," 0.100085912"," 0.0128966301"," 0.017066044"," 0.235180556","-0.0787969064","-9.723738e-02"," 0.443242724","-2.633426e-02"," 0.37343813"," 0.235891282"," 0.506473231","-0.02917177"," 0.0792783920","-0.225830187","-0.1609041078"," 0.089038824"," 0.156775836","-0.278265362"," 0.03050965","-0.03083242","-0.109557876","-0.297151491"," 0.215382680"," 0.565712033","-0.115858651","-0.0470686137","-0.261776637","-0.034485810"," 0.284936535","-0.22959708","-0.072106864"," 0.1975745634","-0.242252790","-0.177457330"," 0.086620046","-0.1634506603","-0.385966995"," 0.186669420"," 1.475181931","-0.4599556726"," 0.173661835","-0.1349246735"," 0.046305963"," 0.231472004","-0.4245738873",1,1,"HDA"
"ACTTP1"," 0.099714810"," 0.20795556","-0.120705055"," 0.090494364"," 0.159182485"," 0.003673133"," 0.0659683970"," 0.334866878"," 0.193954445","-0.2667900881"," 9.973085e-02"," 0.091843058","-6.456441e-02","-0.72307727"," 0.058758380"," 0.416773959"," 0.54400965","-0.1375425846"," 0.218046497","-0.4502181951"," 0.094298509"," 0.452563391","-0.465218240"," 0.29621689"," 0.20618192","-0.086559267","-0.359666898","-0.091653215","-0.308834917"," 0.346979140","-0.2959197485","-0.301210567"," 0.498473689","-0.217367452","-0.23038200"," 0.371603352","-0.2977171072","-0.406401629"," 0.803219664","-6.183791401","-0.3204970310"," 0.066063032"," 0.166795968"," 0.147637208","-0.2855442308","-0.007333311","-0.1605330262"," 5.169503483"," 0.461946325"," 0.0392115457",2,2,"ACTd"
"ACTTP2","-0.331436344","-0.28549264"," 0.091426207","-0.162662785","-0.394066193"," 0.119321070"," 0.8222717733"," 0.304380160"," 0.196059729"," 0.1899025226"," 4.510038e-01"," 1.124838201"," 2.301977e-01","-0.15494751"," 0.565723851"," 0.739460338","-0.30274288","-0.3281281609","-0.043037473","-0.1818236578"," 0.226173758"," 0.224362210","-0.006808500","-0.56692329","-0.11805469"," 0.433886705"," 0.552425148","-0.142608439","-0.535363640","-0.107601058","-0.4457109033"," 0.634282497"," 0.525891603","-6.176028104"," 0.19230830","-0.462228489","-0.1599634264","-0.426614334"," 0.127128356","-0.159726077"," 0.1003543284","-0.145734076"," 0.325087233","-1.552235539"," 0.5994051494"," 0.069631995","-0.4246339569"," 5.997942107","-0.077739651","-0.2736963897",2,2,"ACTd"
"ACTTP3","-0.030341147","-0.15475977","-0.199208135","-0.481124063"," 0.065647051","-0.001960891","-0.1822575948"," 0.440726103"," 0.044743722","-0.0250411652"," 7.059190e-01"," 0.077163813"," 5.073681e-01","-0.42956604","-0.748118486"," 0.730064475","-0.62953485","-0.3730839028","-0.001583855","-0.0561970055"," 0.070678577","-0.226357033","-0.011000116","-0.40374009","-0.45568213"," 0.048219052"," 0.367586442"," 0.089384138"," 0.122444665"," 0.614331728"," 0.2346743051","-0.567633042"," 0.772520055","-5.705336255","-0.32470472","-0.045344622","-0.1839630876","-0.304255988"," 0.045918073"," 0.178574841","-0.8704659609"," 0.371032342"," 0.215742456","-0.623238744"," 0.4578829735"," 0.466539770"," 0.1273770879"," 1.710664889"," 0.440850715"," 0.7376116891",2,2,"ACTd"
"ACTTP4","-0.436293317","-0.21598459","-0.304166557","-0.317715455","-0.901170795","-0.390857919","-0.4702473797"," 0.198082830"," 0.023136419","-0.3483381201"," 9.270898e-01","-0.002367864"," 6.916912e-01"," 0.65874303"," 0.119066866"," 0.122386706","-0.30005961","-0.4885803176"," 0.046531070"," 0.1228238973","-0.017288375","-0.007060612"," 0.117741607","-0.86964723","-0.02000143"," 0.047717793"," 0.943819064","-0.508545720","-0.831785229"," 0.823804100"," 0.3940303423","-0.491856111"," 0.627438977"," 0.582676216"," 0.50405548","-0.403076390","-0.9761859059","-0.495965000"," 0.068443434","-4.965199369","-0.7022127800","-0.176488501"," 0.226389489","-0.068088641"," 0.0065862326"," 0.399245937"," 0.1046571388","-0.001024285"," 0.791864713"," 0.7244140186",2,2,"ACTd"
"ACTTP5","-0.008944454","-0.57657596","-0.065142651","-0.011312878","-1.583964446"," 0.098304807"," 0.0394236519"," 0.758529937","-0.230980675","-0.7782028541"," 7.026415e-01"," 0.528841735"," 5.615012e-01","-0.41246748"," 0.328303203","-0.373730089","-0.04181785","-0.5384471553","-0.078239365"," 0.6624793248","-0.151772788"," 0.590109476","-0.169054684","-0.42634133","-0.60030408"," 0.362514529"," 0.771791331","-0.210716285","-0.483878528"," 0.292725501"," 0.7584103183","-0.791084500"," 0.254140977"," 1.002223017"," 0.27602046","-0.829897719","-0.7183068260"," 0.329601589"," 0.213815151","-0.461780763"," 0.3230403856"," 0.228903480"," 1.092166899"," 0.560407097"," 0.2612021085"," 0.186779442","-0.5073698016"," 0.134499900"," 0.909883624"," 0.5824604946",2,2,"ACTd"
"ML_7_H1"," 0.903022832"," 0.12753518"," 0.632954151","-0.336581438"," 0.230201125","-0.041903173","-0.7556275603","-0.047648353"," 0.429883626","-0.1227028164"," 9.832920e-04"," 1.103574067"," 3.459243e-01","-0.22909618"," 0.048483217","-0.146971325"," 0.25922208"," 0.0376912549","-0.117300163"," 0.1452957353"," 0.379895218","-0.551759526"," 1.381613681"," 0.27389311"," 0.62947276"," 0.066694081","-0.053220096"," 0.080237620","-0.144204774"," 0.029709799"," 0.0455028572"," 0.499990264"," 0.578935481","-0.191097594","-0.11943690","-0.248523913","-0.5270685025"," 0.403855172"," 0.268154668"," 0.345755240"," 0.4952296680"," 0.162850426","-0.133391124","-0.401507350"," 0.4760497428"," 0.496007730"," 0.4478332455"," 0.370379919"," 0.595257992","-0.0300020457",3,3,"ML_7"
"ML_7_H2"," 0.469149804","-0.08024546"," 0.663620520","-0.365226849","-0.455903089","-0.030635484","-0.5371770934","-0.094424398","-0.771564077","-0.4376626580","-2.931120e-01"," 0.707418081","-3.154707e-02"," 0.01026495","-0.121780510","-0.294821274"," 0.02416091","-0.0421573157","-0.442216012"," 0.2862597865"," 0.330019211","-0.248671793"," 0.554136004"," 0.11309077"," 0.16794075"," 0.068330802"," 0.064791652"," 0.171218972","-0.338604673"," 0.599674062","-0.2195404949","-0.271198488"," 0.449969642","-0.168196094","-0.07693573"," 0.266298721","-0.2915469404"," 0.587611092"," 0.266985138"," 0.214634245"," 0.5001760824","-0.075010177","-0.427160781","-0.781485988"," 0.0185110092"," 0.279520042"," 0.4063370658"," 0.283242809"," 0.678687157","-0.0444875470",3,3,"ML_7"
"ML_7_H4","-0.190632310","-0.16066967"," 0.275564868","-0.516200372"," 0.768386430","-0.160281404","-0.6607541080"," 0.100136022","-0.073458398","-0.5766437492","-1.894228e-01"," 0.658844869","-1.374783e-01"," 0.27513931","-0.249566237"," 0.167502299","-0.31104959","-0.0354113212","-0.179439741"," 0.1630672370"," 0.331465592","-0.433005657"," 0.546061286"," 0.18560844"," 0.47686082"," 0.088726900","-0.088106013"," 0.818197236","-0.372847272"," 0.273255972"," 0.1192985050"," 1.594398105"," 1.213416542"," 0.082567322","-0.11370141","-0.031772346","-0.5193108223"," 0.372115055"," 0.368240967"," 0.118904513"," 0.3603679961"," 0.493830646","-0.474703296","-0.929332576"," 0.0859117548"," 0.402301541"," 0.2826126908"," 0.310235356"," 0.345192300","-0.1469767171",3,3,"ML_7"
"ML_7_H6","-0.919245379","-0.28061153"," 0.106295221","-0.729202968","-1.106018381","-0.437617622","-0.6327477586","-1.231663556","-1.764416657","-1.2319502419","-1.717537e-01"," 0.644083239","-3.297777e-02"," 0.12159641"," 0.029334792","-0.754142363","-2.27449121"," 0.1097126067","-0.272246140","-0.1772338978"," 0.142981167"," 0.258260546","-0.505467631","-0.53216641"," 1.59447775"," 0.207600987","-0.682804384"," 0.079776011","-0.319259023"," 0.048923911","-0.1191626761","-1.094302518","-0.066722840","-0.177605553","-0.11021971"," 0.085031323","-0.2440992810"," 0.218540413"," 0.278779186"," 0.278938841"," 0.1487371918","-0.690870456","-0.253845716","-0.126045206"," 0.0120531056"," 1.024697173"," 0.4742976275","-0.003775712"," 0.403963885","-0.0957716673",3,3,"ML_7"
"ML_7_H8"," 0.073533451","-0.44571008"," 0.557542475","-0.489777382"," 0.003505705","-0.185668577","-0.4753179774","-0.128943496"," 0.130867043","-0.3665274361","-5.355732e-02"," 0.512176658"," 3.988935e-01","-0.19370817","-0.845123260"," 0.145848496","-0.23606400","-0.0592360838"," 0.183755009"," 0.1829509456"," 0.182105168","-0.093613188"," 1.021705060"," 0.39061838","-0.12420454","-0.282925876","-0.556865676"," 0.998485394","-0.692163884"," 0.179345385"," 0.3728019250"," 0.436165887"," 0.511369695"," 0.217826672","-0.59523632"," 0.178879275","-0.3729004376"," 0.702340401"," 0.181241890"," 0.009409142"," 0.7086146560"," 0.680332349","-0.176805231","-0.997799009"," 0.0597601789"," 0.186623943"," 0.3450383570"," 0.163056681"," 0.275634124","-0.2422418135",3,3,"ML_7"
"ML_7_H10"," 0.625222224","-0.15455234","-0.277833182","-0.033275404","-0.002081693"," 0.349286291"," 0.0808028177","-0.167196021"," 0.113031397"," 0.1843105404","-3.758002e-02"," 0.780716224"," 4.539324e-01","-0.09822164"," 0.505959020","-0.177092871"," 1.54642700"," 0.4720747401","-0.375033517","-0.0336210677","-0.200110077"," 0.317929401"," 0.811057416","-0.72268443"," 0.09071059","-0.004171150","-0.533186310"," 0.302709826","-0.239386693"," 0.034367919","-0.1647012062"," 0.830148328"," 0.249181832","-0.021810387"," 0.08441433","-0.348379772","-0.4013984341"," 0.215380504"," 0.664940035","-0.065292766","-0.0165762571","-0.110411313","-0.489074230","-0.212565378","-0.4038362374"," 0.338890234"," 0.1651957528"," 0.349253206","-0.128382346"," 0.4894079767",3,3,"ML_7"
"ML_7_H12"," 0.236092031"," 0.39642105","-0.663256937"," 0.535274022","-0.073663259"," 0.246915564","-0.1250077398","-0.119392023","-0.211389295"," 0.0746798670","-1.963451e-01"," 0.645751087","-6.821059e-01"," 0.16686363"," 0.761136014","-0.083039494"," 0.91027936"," 0.5853544421","-0.355613456","-0.1362337807","-0.314273988"," 0.567249904"," 0.320529774"," 0.20482126"," 0.13887786"," 0.217214792","-0.943276239","-0.333340538"," 0.044308914","-0.305937477"," 0.0165690681"," 0.335215657"," 0.441012316"," 0.179185073","-0.04290429","-0.604580846","-0.3772800676"," 0.019291502"," 0.775359811","-0.254325581"," 0.3809721845","-0.538516137","-0.099655214"," 0.153311260","-0.2752158332"," 0.095608107"," 0.0309803746"," 0.448708514","-0.284297859"," 0.8933621329",3,3,"ML_7"
"W7_H1"," 0.026614959"," 0.48615030"," 0.141971935","-0.749701102"," 0.879894524","-0.023621757"," 0.3166145616","-0.096089928","-0.256344861","-0.0111713572","-4.135269e-01"," 0.128087995"," 3.147473e-01","-0.24931613","-0.498106929"," 0.213513281","-0.07802898","-0.1617610170"," 0.376996885"," 0.0677053843","-0.208396242","-0.645641675"," 0.360041774"," 0.30670843"," 0.30923241"," 0.194660900"," 0.155417691"," 0.180769737"," 0.103828210"," 0.487853431","-0.3210319394"," 0.147210980"," 0.382000436","-0.403477126","-0.29445186","-0.242860869","-0.5988300845"," 0.126818064"," 0.981640953"," 0.309100507"," 0.7495892373"," 0.322244552","-0.367013259","-0.818995472","-0.2352137321"," 0.706372525"," 0.0954296356"," 0.047067530","-0.013618220"," 0.3541413458",4,3,"W_7"
"W7_H2"," 0.195173342"," 0.40590131"," 0.029343835","-0.138785902","-0.261182489","-1.546185283"," 0.4306799437"," 0.109822733","-0.430419654","-0.0763029164","-5.372541e-01"," 0.047939210"," 1.513914e-02"," 0.27835493","-0.381798773"," 0.152837444"," 0.54528844"," 0.1244491686","-0.191013287"," 0.1334492975","-0.131577045","-0.255750754","-0.160511091"," 0.65240671"," 0.48051766","-0.009128471"," 0.093921091"," 0.345991450","-0.260154793"," 0.568603159","-0.2246797397","-0.301159875","-1.111561183","-0.346198723","-0.15259025"," 0.295927212","-0.3281168998"," 0.037961597"," 0.581332226"," 0.212868191"," 1.0743076663"," 0.184550957"," 0.163495038","-0.909990739","-0.1799466065"," 0.754804241"," 0.0842892024","-0.157145130"," 0.110691176"," 0.4709398231",4,3,"W_7"
"W7_H4"," 0.192321177","-0.53057946"," 0.754698487","-0.422667401"," 0.474750841","-0.766293271","-1.0364153169"," 0.338911963"," 0.651522919","-0.7047274232","-3.753940e-02"," 0.865105332","-3.486949e-02"," 0.20379192","-0.710534871"," 0.011838356","-0.59293354"," 0.0290620226","-0.170333358"," 0.2272026754"," 0.414266666","-0.636015495"," 0.851228884"," 0.26983017"," 0.20654708","-0.115376448","-0.378502021"," 0.573864134","-0.365511050"," 0.210436500"," 0.2108228101"," 0.858729514"," 1.435554510"," 0.094585239"," 0.07580071"," 0.443752539","-0.6989806146"," 0.786399033"," 0.063941046"," 0.330195469"," 0.6950625683"," 0.731718451","-0.606363354","-1.085396849"," 0.0494069380"," 0.182313462"," 0.4617643245"," 0.257298318"," 0.589193468","-0.3141499633",4,3,"W_7"
"W7_H6","-0.430018798","-0.20628119"," 0.102996343","-0.521748111","-0.896160186","-0.374396544","-0.8704342172","-1.118038192","-1.352267331","-1.4226675514","-5.097912e-02"," 0.809309227","-5.198079e-01"," 0.11948086"," 0.002017070","-0.420374139","-1.64330783"," 0.0822839857","-0.083233571","-0.0734768716"," 0.295669912","-0.129861213","-0.486872928","-0.71075580"," 1.63650672"," 0.196425680","-0.697507056"," 0.161035143","-0.327253364"," 0.081048724","-0.0249513943"," 0.902844594","-0.116810393","-0.145962933","-0.09543778"," 0.163079020","-0.2557164451"," 0.073810766"," 0.107752384"," 0.418354552"," 0.1576139930","-0.570474840","-0.226617123","-0.257345779","-0.0216143261"," 1.013501400"," 0.4700123689","-0.202412256"," 0.440030900","-0.0362822744",4,3,"W_7"
"W7_H8"," 0.017272038","-0.73776022"," 1.092836318","-0.388008021"," 0.323310635","-0.088051517","-0.5425592103"," 0.369471201"," 0.640287957","-0.4993376766","-1.165508e-01"," 0.808943546"," 2.274607e-01","-0.22135397","-1.122157001"," 0.033568920"," 0.40102712"," 0.0060824724","-0.055623989"," 0.1131859499"," 0.546817060","-0.348995600"," 1.003989173"," 0.60154519","-0.33363054","-0.601191303","-0.870758024"," 1.027575150","-0.687618824"," 0.167247724"," 0.2950615485"," 1.145159420"," 0.345736872"," 0.109196354","-0.15501034"," 0.625665817","-0.5431188669"," 0.948006612","-0.125613237"," 0.304381801"," 0.7613015676"," 1.021487140","-0.191017368","-0.995291470","-0.1261915078"," 0.154779226"," 0.3671986509"," 0.299207349"," 0.723506696","-0.6628448321",4,3,"W_7"
"W7_H10"," 0.265014620"," 0.37319084"," 0.103086442","-0.285231417","-0.119559142"," 0.207470911","-0.0127169812","-0.069437024"," 0.141733598"," 0.4483310878"," 3.553455e-02"," 0.367945505","-4.457661e-02"," 0.35577131","-0.179366545"," 0.428835919"," 0.18305244"," 0.3744504355","-0.195992758"," 0.1164749154","-0.081023066","-0.515143182"," 1.018942589","-0.42050346"," 0.27808960"," 0.080402966","-0.160597462"," 0.199864906","-0.369305800"," 0.682677769","-0.0588398509"," 0.065444292"," 0.568773769","-0.255550637","-0.12448520"," 0.158426497","-0.2861795928"," 0.115030142"," 0.265138970"," 0.067625140"," 0.4603664321","-0.234581148"," 0.183605025","-0.892987389","-0.7130873481"," 0.140390958"," 0.0621631916","-0.076398609","-0.021833149"," 0.0264484067",4,3,"W_7"
"W7_H12","-0.532095568","-0.12730859"," 0.488418735"," 0.169987295","-0.402310360","-0.597915616","-0.3804543344","-0.179747459"," 1.277160916"," 0.0334854346"," 6.402840e-01"," 0.431141747","-6.710196e-01"," 0.17280701","-0.353450445"," 0.139027377"," 0.41879828"," 0.3248386231","-0.157771881","-0.0812555023"," 0.092919645","-0.363096376"," 0.725791375"," 0.94872931"," 0.06374224","-0.050309346","-0.319772060","-0.439414600","-0.337020270"," 0.623588862"," 0.3512899976"," 1.901627727"," 0.888257759","-0.164469601","-0.32104685"," 0.697377664","-0.4343693802"," 0.454928994","-0.180346920"," 0.156974490"," 0.4657455931"," 0.391212546"," 0.325826477","-0.688410122","-0.1645287096","-0.051468887"," 0.1558614370"," 0.280042019"," 0.430642021","-0.1991766373",4,3,"W_7"
