"","MAL13P1.124","MAL13P1.137","MAL13P1.206","MAL13P1.262","MAL13P1.40","MAL7P1.18","MAL8P1.132","PF07_0074","PF08_0032","PF10_0132","PF10_0152","PF10_0191","PF10_0299","PF10_0374","PF10_0380","PF11_0162","PF11_0290","PF11_0527","PF13_0095","PF13_0135","PF13_0137","PF14_0041","PF14_0238","PF14_0249","PF14_0360","PF14_0384","PF14_0562","PF14_0642","PF14_0713","PF14_0719","PFA0430c","PFB0175c","PFB0270w","PFB0295w","PFB0590w","PFC0090w","PFC0760c","PFC0980c","PFE0165w","PFE0430w","PFE0450w","PFE0585c","PFF0200c","PFF0610c","PFF0690c","PFF0875w","PFF0965c","PFF1150w","PFL0980w","PFL2055w","D_class","Class","Compound"
"Chloroquine_H6"," 0.146772658"," 0.522224749"," 0.17122444"," 0.1357950299"," 0.093969242"," 1.358667290","-0.3629525847","-0.441142495","-0.0008900634"," 0.0336793644","-0.160159662","-0.030504098","-0.424431756"," 0.062064179","-0.0239621634"," 0.007946545"," 0.322555762"," 0.11488827"," 0.09446799"," 0.0573445066","-0.3678109699","-0.129001852"," 0.245420799"," 0.080750063","-0.149433856","-0.168474200","-0.30589825","-0.100540311"," 0.194551600","-0.0927285207"," 0.124035919"," 0.063237350","-0.254373292"," 0.0074280907","-0.048436246"," 0.011197007","-0.062271793"," 0.076891044","-0.285631387"," 0.089385633"," 0.094731421","-0.1291048999"," 0.95017370","-0.155087149"," 0.097158145"," 0.0378174546"," 0.067009647","-0.037853934","-0.0291471247"," 0.049681545",13,10,"Chloroquine"
"Chloroquine_H8"," 0.227341775"," 0.398947155"," 0.18164758"," 0.1896992920"," 0.112293361"," 1.492036982","-0.5846124103","-0.162027358","-0.1330857175"," 0.2130204579","-0.182883277"," 0.088318757","-0.115229743","-0.079454738"," 0.1547576869"," 0.041874841"," 0.304496140","-0.05593670","-0.03036061"," 0.0552038068","-0.3942244403"," 0.164510200"," 0.097210860"," 0.014942444","-0.254642441","-0.076988512","-0.47609525"," 0.002506124","-0.292125348","-0.2053124536"," 0.188820729","-0.001367424","-0.150048112"," 0.0088036121","-0.467324816"," 0.033979602"," 0.095331253","-0.161533971","-0.250869430"," 0.101966365"," 0.124254879","-0.0036046462"," 1.89735797","-0.280334744"," 0.024121191"," 0.0934133779"," 0.033659557"," 0.287704888","-0.0004346177","-0.068039258",13,10,"Chloroquine"
"Chloroquine_H10"," 0.205346905"," 0.132287054"," 0.34863806","-0.0147619026","-0.320666067"," 0.697143473"," 0.1401873558","-0.366690222"," 0.0802700685"," 0.1710985526","-0.211812970"," 0.211991786","-0.006318564"," 0.384171927"," 0.0784216268"," 0.148942874"," 0.429549170"," 0.33913180"," 0.05723312","-0.0006840405","-0.1911884121","-0.103013508"," 0.135952440"," 0.058589146"," 0.060408002"," 0.086964915","-0.31470380"," 0.057974008"," 0.210908281"," 0.0042131688"," 0.113248722"," 0.312579762","-0.287333859"," 0.1067816693","-0.375683388"," 0.034576551"," 0.070667349"," 0.041979170","-0.391163085"," 0.130365510"," 0.156873718"," 0.0202672972"," 0.42101415"," 0.022621133","-0.236603341"," 0.1221991506","-0.244627171","-0.193849125"," 0.2266856326","-0.197441604",13,10,"Chloroquine"
"Febrifugine_H1","-0.154227847","-0.350887241","-0.05389102","-0.2061137781"," 0.240632844"," 0.093566507","-0.0631358961","-0.340060539"," 0.2094825173","-0.0002695018"," 0.078113485","-0.099362574"," 0.490117013"," 0.131183663"," 0.0232095294","-0.058018758"," 0.442063478"," 0.80312921","-0.63402797"," 0.0382705383","-0.0379817500"," 0.063061896"," 0.019994691","-0.087306487","-0.298385447","-0.056078098"," 0.17824188","-0.094082911"," 0.042242297","-0.5154689781","-0.073628606"," 0.278038538","-0.066708717","-0.1448587096","-0.542009476","-0.125861848"," 0.212495508","-0.039867404","-0.214272723","-0.053340118","-0.275492314"," 0.2473953367","-0.26439742"," 0.084113984"," 0.109531153"," 0.1461495235","-0.176116717","-0.058031079"," 0.0865596927","-0.026558968",14,11,"Febrifugine"
"Febrifugine_H2","-0.087032220","-0.516283542"," 0.20424109"," 0.1628687739","-0.293878708","-0.311861240","-0.0457205800","-0.146622948"," 0.0991341625","-0.1263651958","-0.593270661","-0.106538908"," 0.384218359","-0.028257792"," 0.0653876917"," 0.159709872"," 0.182007010","-0.01124025","-0.34009012"," 0.2292003570"," 0.0438359691"," 0.120270496","-0.078566519","-0.132979260","-0.243152683"," 0.301827346"," 0.07465089"," 1.003471602"," 0.377259179","-0.5478273224"," 0.764044684"," 0.273342811","-0.307167165","-0.0310412193","-0.564573119","-0.055113210"," 0.184527093"," 0.623934133","-0.380345394"," 0.199331789","-0.376907917"," 0.1476727977","-0.39117865"," 0.344524764"," 0.076121660","-0.1702583486","-0.307437937"," 0.660792482"," 0.4047473783","-0.082270844",14,11,"Febrifugine"
"Febrifugine_H4","-0.262465839","-0.501752044","-0.12920775"," 0.2656768806"," 0.045162811","-0.414699871"," 0.0953546331","-0.242424508"," 0.0126455735","-0.2690943432","-0.186207589","-0.036243353"," 0.454338099","-0.174391043"," 0.1300528826"," 0.048265504"," 0.164610223"," 0.54804164","-0.45978674"," 0.1103649104","-0.1449857981"," 0.229057646","-0.241643389","-0.285869910","-0.119876390"," 0.189772325","-0.01631205"," 0.488533297"," 0.075529836","-0.2179595145"," 0.437343162"," 0.401913018","-0.233083678"," 0.1133966268","-0.296453492","-0.109489147"," 0.122038477"," 0.440135478","-0.284255577"," 0.016415674","-0.685318825"," 0.0562712879","-0.93839457"," 0.145926954","-0.059929489","-0.0780591023","-0.011548767"," 0.299908575"," 0.2701100071","-0.049801079",14,11,"Febrifugine"
"Febrifugine_H6","-0.053061393","-0.267548655","-0.03460419"," 0.3577656469"," 0.138935713","-0.076534472"," 0.0574777628"," 0.047311052"," 0.0197236435","-0.2378646922"," 0.006598261"," 0.142518669"," 0.386398665"," 0.238239261"," 0.2797277738","-0.103201023"," 0.066688081"," 0.65849293","-0.51302325"," 0.2270640464"," 0.0543130204"," 0.216925742","-0.129830013","-0.007808868","-0.435853815"," 0.395189705"," 0.03076630"," 0.808114417"," 0.260142158","-0.5786787989"," 0.632465236"," 0.002428644","-0.456442171"," 0.1668138263","-0.299028093","-0.208964293"," 0.079736836"," 0.414636980","-0.391862209","-0.090641764","-0.502228208"," 0.0180187476","-0.15772626"," 0.497226789","-0.021329227"," 0.1645789272","-0.153374072"," 0.666059410"," 0.4022781596","-0.436213378",14,11,"Febrifugine"
"Febrifugine_H8","-0.247752681","-0.481805837","-0.37564735"," 0.3315119206"," 0.437476366","-0.048076738"," 0.4687780555"," 0.101836396","-0.1084926996","-0.2256784187"," 0.047973689"," 0.364334729"," 0.551868240"," 0.202367185"," 0.5047251621","-0.303935197"," 0.594845127"," 0.45715112","-0.68196381"," 0.1722871117"," 0.2785949179"," 0.119088149","-0.412576115"," 0.088248077","-0.609004734"," 0.496809100"," 0.30508702"," 0.865264372"," 0.416810647","-0.7742500128"," 0.623739286","-0.112711672","-0.311304667"," 0.2699914914","-0.513099275"," 0.017894351"," 0.130263782"," 0.458613045","-0.544008240"," 0.075397053","-0.754003910","-0.1297745146","-0.65066373"," 0.310317642"," 0.045925089"," 0.4440169829","-0.240805601"," 0.602948030"," 0.3543751731","-0.258570933",14,11,"Febrifugine"
"Febrifugine_H10","-0.111138673","-0.353468579","-0.04725068"," 0.0636667160","-0.125370207","-0.442669278"," 0.0497688058"," 0.222557149"," 0.1650572091","-0.1257307265"," 0.115938626"," 0.402138204"," 0.066867293","-0.233674748"," 0.3318273551","-0.327957197"," 0.415293996"," 0.17613108","-0.93675561"," 0.2425209870"," 0.2765143427"," 0.002233326","-0.126445171"," 0.105934625","-0.272143324"," 0.830463705"," 0.10336225"," 0.985522776"," 0.355377974"," 0.2628399827"," 0.300488737","-0.056823134","-0.029107389"," 0.2589309200","-0.669217288"," 0.019908087"," 0.031049628"," 0.530340882","-0.708130503"," 0.026596398","-1.072508244","-0.3492947166"," 0.13389155"," 0.257253689"," 0.103259343"," 0.0193193089"," 0.238400908"," 0.532911878"," 0.5745130370","-0.621784303",14,11,"Febrifugine"
"Artemisinin_H1","-0.261879583","-0.773980323","-0.17967479"," 0.2944298406","-0.313614396","-0.122440451"," 0.3866038195","-0.334093527"," 0.2713100841","-0.1960344390","-0.074000443","-0.077106756"," 0.475533720"," 0.231292669"," 0.2486627439"," 0.038115400"," 0.553123060"," 0.09677241","-0.30346367"," 0.1695584716","-0.0388158527"," 0.086552310","-0.666408410","-0.326593304","-0.068210518","-0.048850781"," 0.17881224","-0.618891241"," 0.116474514","-0.4076015245"," 0.250984951"," 0.084574944","-0.035431435"," 0.0118818465","-0.312645546"," 0.135357659"," 0.200864738"," 0.156953721"," 0.095528226","-0.135940816","-0.527311412"," 0.3406025673","-0.75007664"," 0.189815748"," 0.087224343"," 0.2031403749","-0.148525451"," 0.231607231"," 0.1031466155","-0.232484319",15,12,"Artemisinin"
"Artemisinin_H2","-0.118565197","-1.044270880","-0.16817839","-0.0195481154","-0.533402566","-0.781886023"," 0.6008754151"," 0.124005001"," 0.2814870544"," 0.0202019211","-0.410644080","-0.457343608"," 0.588281373"," 0.390871328"," 0.3181230865"," 0.239757074"," 0.430553646","-0.31632388","-0.38819309"," 0.2873049802"," 0.3365084930"," 0.098424556","-0.410141648","-0.573863314","-0.316615672"," 0.868896291"," 0.41747896","-0.220782504"," 0.440574503","-0.5320115910"," 0.678022851"," 0.463420667","-0.047373281","-0.0561068634","-1.024947407"," 0.181397586"," 0.232511902"," 0.749966228","-0.210542882"," 0.203381421","-0.489650285"," 0.4573088187","-1.05567989"," 0.368098090"," 0.105916085","-0.1312697080","-0.399399980"," 0.238806357"," 0.6048594189","-0.436302166",15,12,"Artemisinin"
"Artemisinin_H4","-0.120136730","-0.544859533"," 0.10826411"," 0.4219577397"," 0.407615329","-0.268262755"," 0.4729619025","-0.113968280"," 0.1837952638","-0.2001750737","-0.071283086","-0.098960246"," 0.522151905","-0.089358955"," 0.4359381545"," 0.080816927"," 0.131296925"," 0.62043725","-0.41793514"," 0.2451047375"," 0.2726250217"," 0.476735080","-0.162362227","-0.073557116","-0.328058194"," 0.340845380"," 0.37133258","-0.277224145"," 0.309741364","-0.3481250061"," 0.518939875"," 0.100072903","-0.006518828","-0.0056612948","-0.579708013","-0.371790859"," 0.237562142"," 0.482904292","-0.217208758"," 0.022491275","-0.531148034"," 0.0994495341","-0.72030139"," 0.528041227","-0.026872529"," 0.2646493187","-0.262839564"," 0.410455909"," 0.2078493701","-0.609467944",15,12,"Artemisinin"
"Artemisinin_H6","-0.289244681","-0.236924310"," 0.54281300"," 0.2342518616","-0.049992758","-0.895470472"," 0.0610043657","-0.213627140"," 0.0692439861","-0.2277123895","-0.103524573","-0.100704107"," 0.221711683"," 0.141480842"," 0.3529258191"," 0.270430626","-0.013490997"," 0.43210829","-0.35562516"," 0.2439240673","-0.0239017380","-0.062000760","-0.428784834"," 0.110254384","-0.537234394"," 0.087803507","-0.19185821","-0.120926890"," 0.108265157","-0.4660421477"," 0.461761825","-0.060311291","-0.570736644"," 0.3196050005","-0.299950496"," 0.069373787","-0.051798625"," 0.342351242","-0.355416106","-0.036598571"," 0.533793374"," 0.0071543666","-0.95867736"," 0.482336462","-0.275796337","-0.1515749724"," 0.314759007"," 0.306290211"," 0.5403327903","-0.527077671",15,12,"Artemisinin"
"Artemisinin_H8","-0.328692222","-0.294637686"," 0.13404691"," 0.6747100547","-0.159691515","-1.486057258"," 0.3802154386"," 0.635052979"," 0.3612624506","-0.3630761834"," 0.405927059","-0.041710317"," 0.354930233"," 0.295793394"," 0.3551785149","-0.158229574"," 0.178178703"," 0.03167296","-0.54443588"," 0.2430498105"," 0.1404182312","-0.196409673","-0.798919250"," 0.293215627","-0.597512287"," 0.250997732","-0.40851671","-0.746741582"," 0.279985989","-0.7399337279"," 0.973653407"," 0.002738469","-0.499973592"," 0.2897806876","-0.244245308","-0.138472595"," 0.122020648"," 0.941055631","-0.282047673"," 0.248216426"," 0.642114291","-0.1353195943","-1.35831642"," 0.720038794","-0.697413011"," 0.1451912653"," 0.039203530"," 0.105253128"," 0.2823224872","-0.510508982",15,12,"Artemisinin"
"Artemisinin_H10","-0.055087376","-0.135561529"," 0.29999329"," 0.6868169497","-0.399534494","-1.011145423"," 0.0919440777"," 1.656505703"," 0.3972738991","-0.5564576375","-0.010422120"," 0.699945740","-0.037069700"," 0.560048922"," 0.3968731033","-0.267447423"," 0.066545560","-0.16094106","-0.64890774"," 0.0692902376","-0.1636113151"," 0.103801261"," 0.188360188"," 0.515748710","-0.316769727"," 0.346846105","-0.31943285","-0.177377579"," 0.358056247"," 0.1377077020"," 1.134453058"," 0.125757661","-0.703199550"," 0.1687289822"," 0.103281944","-0.728081661"," 0.021723160"," 0.887467013","-0.392055266","-0.008710034"," 0.169648740","-0.2644711795","-1.20452025"," 0.466308910","-0.897738381"," 0.0526798522"," 0.889346881","-0.027632947"," 0.6828428735","-1.623964955",15,12,"Artemisinin"
"MMV43TP1","-0.275157072","-1.919031212"," 1.69046452"," 0.2435913510","-0.767356739","-1.452641489"," 0.6634830235"," 0.047810611"," 0.2927011099"," 0.0257006308","-0.225727915","-0.254040168"," 0.555705105","-0.216690353"," 1.8628330795","-0.139706324"," 0.600785037","-0.91326730","-1.32560479","-0.7444330477"," 0.7787225806","-1.739294473","-0.437946540","-0.537722683","-0.437158727"," 1.042886014"," 1.02389443","-0.031704732"," 0.532516448"," 0.5256420178"," 0.325571042"," 1.617622428","-0.820935275"," 0.2851725380","-1.430894871","-2.677411896"," 0.120507436"," 0.266881626","-2.018483648","-0.027499611","-0.697088836"," 0.4490434621","-2.45684398"," 0.382977624"," 1.284631972","-0.2046203049","-0.122923564"," 0.561640893"," 0.5960154637"," 0.643042479",16,13,"MMV43"
"MMV43TP2"," 0.389011985"," 0.555952702"," 0.40882794"," 0.0879613473","-0.254319301"," 0.368515126"," 0.6633683285"," 0.078009449","-0.1661924524"," 0.0347598648","-1.187633644","-0.827377376"," 0.504097258"," 0.508783542"," 0.0395453818"," 0.211666742"," 0.561748952"," 0.30734326","-0.33383061"," 0.3251363552"," 0.3633196345","-0.780007455"," 0.441453739","-0.297173057","-0.031451854"," 0.132996614"," 0.17397537"," 0.319404700","-0.061203338","-0.1073068981"," 0.583026873"," 0.844412574","-0.187193361"," 0.6189263318","-1.048480845","-0.293848721"," 0.670591594","-0.145715228","-0.879987341"," 0.385907740","-0.076247173","-0.2696149796"," 1.00415380"," 0.375202272"," 0.757711374","-0.2442782702","-0.064031513","-0.467914934","-0.0270013993","-0.263768602",16,13,"MMV43"
"MMV48TP1","-0.203625718","-0.720467197"," 0.69731787","-0.0951679264","-0.257202630","-0.403875153"," 0.2970138081","-0.577422675","-0.1791897253"," 0.0763802764","-0.430553900","-0.389498479"," 0.068761205","-0.528890153"," 0.5029167892"," 0.117190118","-0.888057422"," 0.11684375"," 0.01787364","-0.3207311185"," 0.1801957024","-1.032036697","-0.104043034","-0.674763872","-0.219553706","-0.026856647"," 0.98563006"," 0.203435000"," 0.450154331"," 0.1282132818"," 0.029740552"," 0.609257645","-0.320972352","-0.0812756296","-0.835569584","-2.945437123","-0.145232768"," 0.476244064","-0.316914767","-0.192378423","-0.180678051"," 0.2612403470","-0.49000247","-0.078860196"," 0.452461055","-0.1714370771","-0.243014365"," 0.121312987","-0.3525183740"," 0.572232255",17,13,"MMV48"
"MMV48TP2"," 0.350709662"," 0.440562359"," 0.67998710"," 0.0115338926","-0.414696517"," 0.485069648"," 0.5552437510","-0.076454238"," 0.1935937232"," 0.1779044569","-0.752568316","-0.593431482"," 0.286197981"," 0.074536715","-0.1498718242"," 0.025646947"," 0.286702467"," 0.01492680","-0.06557708"," 0.1833180365"," 0.3520666734","-0.495578433"," 0.254060689","-0.365508361"," 0.105440428"," 0.111900673"," 0.49354025"," 0.228125548","-0.149640150","-0.0948032071"," 0.327334462"," 0.268865158"," 0.033975911"," 0.4951444724","-0.999851863","-0.568859238"," 0.462780806"," 0.018779912","-0.649922719"," 0.081549825","-0.354238736","-0.0835902832"," 0.76910511"," 0.356311192"," 0.582702892"," 0.0438430198"," 0.028056656","-0.391869578"," 0.1623190010","-0.863441471",17,13,"MMV48"
"DFMO_TP19"," 0.174430658"," 0.960711931"," 0.17868972"," 0.1469677987","-1.169572230"," 1.633967356"," 0.7696907184"," 0.388862554"," 0.1832059721","-0.8601691822","-1.445749628","-1.305234452","-0.048693067"," 0.361795953"," 0.3800025160"," 0.045277320"," 1.126130567"," 0.21830169","-1.86563928"," 1.0161864200"," 0.0760246112"," 0.027541332"," 1.023635695","-0.096726436","-0.298273713"," 0.482910521","-0.17081222","-0.831360522","-0.071358125","-0.4268428045"," 0.442153373","-0.030175810"," 0.014978722"," 0.2416624439","-3.501639837","-0.023981974"," 0.511585960"," 0.127761764","-0.512883976"," 0.342164139","-1.451284204","-1.0270749834"," 0.23638261"," 0.238240067"," 0.026701066","-0.5649608797","-0.193527390"," 0.045121127"," 0.4748863921"," 0.891731979",18,14,"DFMO"
"DFMO_TP27","-0.096675517","-0.728719366"," 0.46560877"," 0.1431955876","-1.502158049","-0.930395856"," 0.8468223106","-0.357733528"," 0.4288287084","-0.2242562076","-0.278235613","-0.792909867","-0.256317455"," 0.185306402"," 1.6048712295"," 0.266612146"," 1.214635264","-0.46550564","-2.43196180"," 0.3398496265"," 0.5154100218","-1.462564059"," 1.373573731","-0.477234629"," 0.047993595"," 0.731933507"," 0.18332974","-0.109346114"," 0.390553634"," 0.2166792521"," 0.012898587"," 1.043493901"," 0.310404014"," 0.3021529696","-2.313839423"," 0.254904711"," 0.759304597"," 0.186082549","-1.466461350"," 0.221111608","-2.584673184","-0.4986203450","-0.26107566"," 0.905818403"," 0.159285425"," 0.2482913963","-0.026760735","-0.070612109"," 0.9918124024"," 0.975111233",18,14,"DFMO"
"DFMO_TP34","-0.283709648","-1.791328781"," 0.39924445"," 0.2880162764","-0.943258661","-3.704243432"," 0.0791183100","-0.566557764"," 0.3813195959","-0.3292457122"," 0.039228158","-0.751287742"," 0.041007819"," 0.407953669"," 1.9377552282","-0.027879155"," 1.208540769"," 0.07210091","-2.06214761"," 0.0550966311"," 0.3609984573","-0.941888413"," 1.219915079","-0.290356322","-0.036450075"," 0.493977366"," 0.09696059"," 0.167438426"," 0.554517791"," 0.3702205613","-0.220108354"," 1.199500456"," 0.370695101"," 0.3550427226","-1.781864214"," 0.212593905"," 0.348332760","-0.179685961","-1.162902455"," 0.406236866","-2.344358628","-0.3499771417","-3.15623619"," 0.810839074"," 0.400259019","-0.0621104799","-0.069499281","-0.020038484"," 0.9205644322"," 1.102042390",18,14,"DFMO"
"IonoTP1"," 0.377163633"," 0.577146074"," 0.02186441"," 0.2241584998"," 0.179513470"," 0.921571428","-0.2061638167","-0.216786587"," 0.2387658411"," 0.1112178076","-0.093327880"," 0.243419540","-0.142449941","-0.991562164"," 0.0066109481","-0.042178124","-0.236017162","-0.03258383","-0.47283748"," 0.1212863626","-0.0514487430"," 0.129122018"," 0.496069136"," 0.410100572","-0.024876883","-0.277940125","-0.49764827","-0.047057766"," 0.004175686"," 0.0383507019"," 0.191795246"," 0.087046931"," 0.016374142","-0.1852181550","-0.190903144","-0.025936595"," 0.194989781","-0.120209643"," 0.070496008","-0.008244235"," 0.819876686"," 0.0109625108"," 1.11991925","-0.521342691"," 0.141637330","-0.5098163713"," 0.191686829","-0.043140940","-0.0325756287"," 0.040465933",19,15,"Iono"
"IonoTP2"," 0.098505433"," 0.311851114"," 0.09183034"," 0.1702104536","-0.088801456"," 0.373186958","-0.2406660512","-0.000185653"," 0.1046918760"," 0.0350828774","-0.023730281"," 0.245757904","-0.086431360","-2.537759995","-0.0619434969"," 0.117596869","-0.202803561","-0.03345902","-0.14334597"," 0.0697450183"," 0.0013380566","-0.063610883"," 0.188642324","-0.146318341"," 0.008247210","-0.023453905","-0.06141009","-0.112303929"," 0.100399410"," 0.0158322469"," 0.223578207"," 0.035826136","-0.067456805","-0.1054190427"," 0.030768681","-0.019419145"," 0.059911449","-0.020382384"," 0.102816011","-0.009178910"," 0.336543313"," 0.0313414070"," 0.67667185","-0.836659248"," 0.065017822","-0.9313517054","-0.002376034","-0.058883992","-0.0929600558"," 0.058187886",19,15,"Iono"
"IonoTP3"," 0.093464461"," 0.562504053","-0.31250065"," 0.0637752828"," 0.001565019"," 0.445834589"," 0.3153114483"," 0.072473136","-0.1609918218"," 0.0532185553"," 0.009940832"," 0.446448215","-0.047777184","-1.257439076","-0.0869015586","-0.038637610","-0.042722762"," 0.09081499","-0.14861647","-0.1368766006","-0.0355974097"," 0.077415097"," 0.377395492","-0.140422236","-0.063617849"," 0.105435638"," 0.27596937"," 0.051602988","-0.055729560"," 0.0005911154","-0.055013563"," 0.040321686"," 0.029729619","-0.1540255130","-0.146127376","-0.223581631"," 0.162823996","-0.008762269","-0.341894335","-0.027091497"," 0.324184870","-0.1222835013"," 1.66070809","-0.321635121","-0.136229550","-0.8848491813","-0.075583343","-0.407654530"," 0.0771303189"," 0.071466465",19,15,"Iono"
"IonoTP4"," 0.631064984"," 1.030015679"," 0.02761350"," 0.0394900811"," 0.170453539"," 1.241414244","-0.1330963201","-0.113684882","-0.1380928644"," 0.1472653617"," 0.058509315","-0.133844093","-0.060297970","-1.781208933"," 0.0006837926","-0.020184561","-0.279454501","-0.08261760"," 0.25685826"," 0.0161595392","-0.0284036450","-0.097462681"," 0.025824556","-0.161058850"," 0.041665506"," 0.049248384","-0.15288449","-0.338370249","-0.005795300","-0.1427907942"," 0.091157332"," 0.068698234"," 0.046958427","-0.1431476585","-0.192809167","-0.174656965"," 0.185675920","-0.102680689","-0.244205099"," 0.018398107"," 0.170270524"," 0.0002375021"," 2.18954478","-0.774974302","-0.228387998","-1.6547790884","-0.016805679","-0.539042865","-0.1056576564"," 0.085936198",19,15,"Iono"
"IonoTP5"," 0.662901303"," 0.812178432","-0.39768760","-0.0291621003","-0.154919263"," 0.799382734","-0.1901187383"," 0.018567766","-0.1483574065"," 0.3291813679"," 0.130203211"," 1.097995490","-0.092211897","-1.728970663","-0.1291943547","-0.287962772","-0.979840106","-0.05027297"," 0.17645833","-0.0354333748"," 0.0331495929","-0.109400052","-0.122920284","-0.242950700"," 0.216269498"," 0.309160721","-0.07032302","-0.440275096","-0.256945941","-0.1251908052"," 0.070915516","-0.041398109","-0.029197428"," 0.0386369126","-0.366091267","-0.168858813"," 0.221405267","-0.051450592","-0.616720969"," 0.131805078"," 0.342424650"," 0.2022255622"," 2.06431252","-1.600727153","-0.213147444","-1.1615081338","-0.128285099","-0.208239500","-0.2597802544"," 0.033689961",19,15,"Iono"
